NM_000310	PPT1
NM_000311	n/a
NM_000312	PROC
NM_000313	PROS1
NM_000314	PTEN
NM_000315	PTH
NM_000316	PTH1R
NM_000317	PTS
NM_000318	PEX2
NM_000319	PEX5
NM_000320	QDPR
NM_000321	RB1
NM_000322	PRPH2
NM_000324	RHAG
NM_000325	PITX2
NM_000326	RLBP1
NM_000327	ROM1
NM_000328	RPGR
NM_000329	RPE65
NM_000330	RS1
NM_000331	SAA1
NM_000332	ATXN1
NM_000333	ATXN7
NM_000334	SCN4A
NM_000335	SCN5A
NM_000336	SCNN1B
NM_000337	SGCD
NM_000338	SLC12A1
NM_000339	SLC12A3
NM_000340	SLC2A2
NM_000341	SLC3A1
NM_000342	SLC4A1
NM_000343	SLC5A1
NM_000344	n/a
NM_000345	SNCA
NM_000346	SOX9
NM_000347	SPTB
NM_000348	SRD5A2
NM_000349	STAR
NM_000350	ABCA4
NM_000351	STS
NM_000352	ABCC8
NM_000353	TAT
NM_000354	SERPINA7
NM_000355	TCN2
NM_000356	TCOF1
NM_000358	TGFBI
NM_000359	TGM1
NM_000360	TH
NM_000361	THBD
NM_000362	TIMP3
NM_000363	TNNI3
NM_000364	n/a
NM_000365	TPI1
NM_000366	TPM1
NM_000367	TPMT
NM_000368	TSC1
NM_000369	TSHR
NM_000370	TTPA
NM_000371	TTR
NM_000372	TYR
NM_000373	UMPS
NM_000374	UROD
NM_000375	UROS
NM_000376	VDR
NM_000377	WAS
NM_000378	WT1
NM_000379	XDH
NM_000380	XPA
NM_000381	MID1
NM_000382	ALDH3A2
NM_000383	AIRE
NM_000384	APOB
NM_000386	BLMH
NM_000387	SLC25A20
NM_000388	CASR
NM_000389	CDKN1A
NM_000390	CHM
NM_000391	TPP1
NM_000392	ABCC2
NM_000393	COL5A2
NM_000394	CRYAA
NM_000395	CSF2RB
NM_000396	CTSK
NM_000397	CYBB
NM_000398	CYB5R3
NM_000399	EGR2
NM_000400	ERCC2
NM_000401	EXT2
NM_000402	G6PD
NM_000403	GALE
NM_000404	GLB1
NM_000405	GM2A
NM_000406	GNRHR
NM_000408	GPD2
NM_000409	GUCA1A
NM_000410	HFE
NM_000411	HLCS
NM_000412	HRG
NM_000413	HSD17B1
NM_000414	HSD17B4
NM_000415	IAPP
NM_000416	IFNGR1
NM_000417	IL2RA
NM_000418	IL4R
NM_000419	ITGA2B
NM_000420	KEL
NM_000421	KRT10
NM_000422	KRT17
NM_000423	KRT2
NM_000424	KRT5
NM_000425	L1CAM
NM_000426	LAMA2
NM_000427	LOR
NM_000428	LTBP2
NM_000429	MAT1A
NM_000430	PAFAH1B1
NM_000431	MVK
NM_000432	MYL2
NM_000433	NCF2
NM_000434	NEU1
NM_000435	NOTCH3
NM_000436	OXCT1
NM_000437	PAFAH2
NM_000438	PAX3
NM_000439	PCSK1
NM_000440	PDE6A
NM_000441	SLC26A4
NM_000443	ABCB4
NM_000444	PHEX
NM_000445	PLEC
NM_000446	PON1
NM_000447	PSEN2
NM_000448	RAG1
NM_000449	RFX5
NM_000450	SELE
NM_000451	SHOX
NM_000452	SLC10A2
NM_000453	SLC5A5
NM_000454	SOD1
NM_000455	STK11
NM_000456	SUOX
NM_000457	HNF4A
NM_000458	HNF1B
NM_000459	TEK
NM_000460	THPO
NM_000461	THRB
NM_000462	UBE3A
NM_000463	UGT1A1
NM_000465	BARD1
NM_000466	PEX1
NM_000474	TWIST1
NM_000475	NR0B1
NM_000476	AK1
NM_000477	ALB
NM_000478	ALPL
NM_000479	AMH
NM_000480	AMPD3
NM_000481	AMT
NM_000482	APOA4
NM_000483	n/a
NM_000484	APP
NM_000485	APRT
NM_000486	AQP2
NM_000487	ARSA
NM_000488	SERPINC1
NM_000489	ATRX
NM_000490	AVP
NM_000491	C1QB
NM_000492	CFTR
NM_000493	COL10A1
NM_000494	COL17A1
NM_000495	COL4A5
NM_000496	CRYBB2
NM_000497	CYP11B1
NM_000498	CYP11B2
NM_000499	CYP1A1
NM_000500	CYP21A2
NM_000501	ELN
NM_000502	EPX
NM_000503	EYA1
NM_000504	F10
NM_000505	F12
NM_000506	F2
NM_000507	FBP1
NM_000508	FGA
NM_000509	FGG
NM_000510	FSHB
NM_000511	FUT2
NM_000512	GALNS
NM_000513	OPN1MW
NM_000514	GDNF
NM_000515	GH1
NM_000516	GNAS
NM_000517	HBA2
NM_000518	HBB
NM_000519	HBD
NM_000520	HEXA
NM_000521	HEXB
NM_000522	HOXA13
NM_000523	HOXD13
NM_000524	HTR1A
NM_000525	KCNJ11
NM_000526	KRT14
NM_000527	LDLR
NM_000528	MAN2B1
NM_000529	MC2R
NM_000530	MPZ
NM_000531	OTC
NM_000532	PCCB
NM_000533	PLP1
NM_000534	PMS1
NM_000535	PMS2
NM_000536	RAG2
NM_000537	REN
